index,model,train_rmse,test_rmse
0,XGBRegressor,2.1221448460462375,2.1281965998671435
1,XGBRegressor,2.1458257780943804,2.153344967215608
2,XGBRegressor,2.0372263536357016,2.059611905689736
3,XGBRegressor,2.030764099313441,2.0583570053673994
4,XGBRegressor,2.0046045869696534,2.0513942631674627
5,XGBRegressor,2.0019646427154285,2.0512991426300564
6,XGBRegressor,1.9996377839303179,2.0519625352180677
7,XGBRegressor,1.967158450971113,2.0577020942102653
8,XGBRegressor,1.9624668968498102,2.0577238265951485
9,XGBRegressor,1.9608732201615837,2.0602010791520824
10,XGBRegressor,1.953674571174414,2.0629023567495666
11,XGBRegressor,1.951436646025734,2.0630198951279084
12,XGBRegressor,1.9307950142192367,2.0540960296356903
13,XGBRegressor,1.9279719866222842,2.052892657542288
14,XGBRegressor,1.9270205770099635,2.0527792739755277
15,XGBRegressor,1.9259493511228691,2.052356947630558
16,XGBRegressor,1.9209138947238789,2.0546809368307497
17,XGBRegressor,1.9174832356447187,2.050984684678062
18,XGBRegressor,1.9156805239253334,2.053413861989842
19,XGBRegressor,1.9130719824302882,2.0517417418263113
20,XGBRegressor,1.915958300353416,2.0517156267750645
21,XGBRegressor,1.9136730248171634,2.0488355633679323
22,XGBRegressor,1.9132058475983311,2.049068800094416
23,XGBRegressor,1.9096371027403989,2.045481149961157
24,XGBRegressor,1.9103727246488387,2.0475630985120477
25,XGBRegressor,1.9117622419218905,2.0491402855422747
26,XGBRegressor,1.9087260101588774,2.047297807185983
27,XGBRegressor,1.9090409363622183,2.049267974833327
28,XGBRegressor,1.9083529950133697,2.0477883323197226
29,XGBRegressor,1.9052603018953707,2.0463800430046657
30,XGBRegressor,1.9062842996433385,2.0495417706064556
31,XGBRegressor,1.9055192830556777,2.0482238292814006
32,XGBRegressor,1.9050932859995224,2.0480523524271725
33,XGBRegressor,1.8998467603708096,2.048550274363027
34,XGBRegressor,1.8971242012244196,2.049825891271993
35,XGBRegressor,1.8955472474454418,2.049401454314368
36,XGBRegressor,1.8960448135610666,2.050148110820288
37,XGBRegressor,1.8951918370544014,2.047865236181481
38,XGBRegressor,1.8944035578090372,2.049339664736168
39,XGBRegressor,1.8960733417217674,2.051973872907695
40,XGBRegressor,1.8952324392779503,2.0491632140739267
41,XGBRegressor,1.893433214047035,2.0502288423806183
42,XGBRegressor,1.889713453301954,2.0506450455754153
43,XGBRegressor,1.8898828501167508,2.051621794039016
44,XGBRegressor,1.887112963910355,2.050461602293665
45,XGBRegressor,1.886316988951803,2.049445930328525
46,XGBRegressor,1.8878473056259277,2.050455876255362
47,XGBRegressor,1.8851890399517253,2.0517498751179195
48,XGBRegressor,1.8851532095094967,2.0511737707344007
49,XGBRegressor,1.8879551995225738,2.0521794505686684
50,XGBRegressor,1.881769760653674,2.0498131745845827
51,XGBRegressor,1.883303418519103,2.0515938797114295
52,XGBRegressor,1.8853143826866634,2.0516999189380702
53,XGBRegressor,1.8816836413644005,2.0493422147516087
54,XGBRegressor,1.880793169041406,2.0509086180472496
55,XGBRegressor,1.8815363640022222,2.0526734612213935
56,XGBRegressor,1.880781170138152,2.0529670049002933
57,XGBRegressor,1.8811935492036476,2.0534908564894927
58,XGBRegressor,1.8821960232383337,2.0533326235162894
59,XGBRegressor,1.8792804532386769,2.0510042767629715
60,XGBRegressor,1.8799984814547934,2.052513809770852
61,XGBRegressor,1.8798271335667593,2.054067811238222
62,XGBRegressor,1.8807333378907658,2.0551363805786877
63,XGBRegressor,1.8821277847944633,2.055392456010131
64,XGBRegressor,1.8794951710120493,2.0531367262619225
65,XGBRegressor,1.8781575493433167,2.054187436278167
66,XGBRegressor,1.876638045369931,2.0530431071839637
67,XGBRegressor,1.8783722207082927,2.0553802961035066
68,XGBRegressor,1.876053386300302,2.0569540305267164
69,XGBRegressor,1.8759668227678798,2.055285021694222
70,XGBRegressor,1.875763038821623,2.05534990466221
71,XGBRegressor,1.8757977218834683,2.0537280012432055
72,XGBRegressor,1.8770071007515625,2.0555273793828106
73,XGBRegressor,1.8765771479388758,2.0535361673571924
74,XGBRegressor,1.876588779676966,2.0558972231561525
75,XGBRegressor,1.8778684265578622,2.0568844217459383
76,XGBRegressor,1.8777711040842882,2.0573717150716986
77,XGBRegressor,1.8772267785964647,2.055208591692645
78,XGBRegressor,1.8765316943710335,2.055245164577018
79,XGBRegressor,1.8750462502146905,2.055069713157239
80,XGBRegressor,1.874795666596555,2.0561561612473573
81,XGBRegressor,1.8736320272886566,2.0536802398608467
82,XGBRegressor,1.87111402142147,2.0528554249133877
