,Model,delta,RMSE
0,XGBRegressor,-0:00,2.018532344412658
1,LGBMRegressor,-0:00,2.0356695264368323
2,HistGradientBoostingRegressor,-0:00,2.036778507478201
3,GradientBoostingRegressor,-0:00,2.071369550273205
4,MLPRegressor,-0:00,2.0833214966028857
5,BaggingRegressor,-0:00,2.1227082724827495
6,PoissonRegressor,-0:00,2.1374302977128976
7,LassoCV,-0:00,2.1418395693954713
8,ElasticNetCV,-0:00,2.141843129690046
9,RidgeCV,-0:00,2.141844000550165
10,BayesianRidge,-0:00,2.1418440953204265
11,Ridge,-0:00,2.1418441508116435
12,LarsCV,-0:00,2.1418441680182267
13,LassoLarsIC,-0:00,2.1418441680182267
14,LassoLarsCV,-0:00,2.1418441680182267
15,OrthogonalMatchingPursuitCV,-0:00,2.1418441680182267
16,Lars,-0:00,2.1418441680182267
17,TransformedTargetRegressor,-0:00,2.141844168018227
18,SGDRegressor,-0:00,2.1427813892688383
19,OrthogonalMatchingPursuit,-0:00,2.145026966405655
20,HuberRegressor,-0:00,2.1524730981087665
21,LinearSVR,-0:00,2.1628628945583044
22,ExtraTreesRegressor,-0:00,2.188848271330233
23,KNeighborsRegressor,-0:00,2.2116386418844547
24,LassoLars,-0:00,2.3681263099645355
25,ElasticNet,-0:00,2.380103790917294
26,TweedieRegressor,-0:00,2.382015213283608
27,GammaRegressor,-0:00,2.3942277369862808
28,AdaBoostRegressor,-0:00,2.469094104106222
29,DecisionTreeRegressor,-0:00,2.7583269028445527
30,PassiveAggressiveRegressor,-0:00,2.760240428190421
31,ExtraTreeRegressor,-0:00,2.832052371508476
32,DummyRegressor,-0:00,2.9966380864076663
33,RANSACRegressor,-0:00,6.225258198784926
0,XGBRegressor,-0:05,1.9438466072370122
1,LGBMRegressor,-0:05,1.96817249800739
2,HistGradientBoostingRegressor,-0:05,1.9701134337204613
3,MLPRegressor,-0:05,1.9972539171105665
4,GradientBoostingRegressor,-0:05,2.0421711949781396
