bg,bg+1:00
15.1,13.4
14.4,12.8
13.9,15.5
13.8,14.8
13.4,12.7
12.8,11.4
15.5,11.9
14.8,15.1
12.7,17.1
11.4,17.9
11.9,17.4
15.1,16.1
17.1,14.3
17.9,12.6
17.4,11.2
16.1,8.6
14.3,6.6
12.6,5.8
11.2,5.4
8.6,5.2
6.6,4.9
5.8,4.8
5.4,5.2
5.2,7.1
4.9,7.4
4.8,8.0
5.833333333333333,12.3
7.2,13.1
7.6000000000000005,11.2
9.075,9.6
12.3,8.3
13.1,6.8
11.2,5.9
9.6,6.2
8.733333333333334,7.4
6.8,7.4
5.9,6.4
6.2,7.2
7.4,9.8
7.4,11.7
6.4,12.1
7.2,12.2
9.8,11.2
11.7,9.7
12.1,9.6
12.2,10.3
11.2,10.8
9.7,9.9
9.6,7.2
10.3,4.8
10.8,4.0
9.9,4.3
7.2,4.7
4.8,5.2
4.0,6.4
4.3,8.2
4.7,9.0
5.2,9.1
6.4,8.5
8.2,6.8
9.0,6.6
9.1,7.4
8.5,8.8
6.8,11.3
6.866666666666666,12.6
7.866666666666667,14.0
9.633333333333335,15.4
11.625,15.9
12.6,15.6
14.0,14.8
15.4,13.9
15.9,13.1
15.6,11.9
14.8,11.3
13.9,11.6
13.1,12.2
11.9,11.5
11.3,11.1
11.6,11.8
12.2,12.1
11.5,12.1
11.1,12.2
11.8,13.8
12.1,14.3
12.1,13.5
12.2,12.9
13.8,12.3
14.3,12.0
13.5,11.8
12.9,10.7
12.3,10.1
12.0,9.9
11.8,9.7
10.7,9.3
10.1,8.4
9.9,8.6
9.7,8.6
9.3,7.3
8.4,6.2
8.6,6.5
8.166666666666666,9.6
6.933333333333334,13.2
6.3,16.4
7.275,17.3
9.6,15.9
13.2,14.6
16.4,13.1
17.3,10.9
15.9,9.9
14.6,8.9
13.1,7.2
10.9,5.5
9.9,4.7
8.9,5.0
7.2,6.5
5.5,7.2
4.7,6.1
5.0,4.6
6.5,3.8
7.2,5.2
6.1,9.1
3.8,9.1
5.2,6.8
9.1,6.2
9.1,8.9
9.1,11.2
6.8,11.8
6.2,12.2
8.9,13.2
11.2,12.8
11.8,11.2
12.2,9.4
13.2,6.9
12.8,4.3
11.2,3.1
9.4,3.4
6.9,4.3
4.3,3.3
3.2,2.9
3.6999999999999997,3.4
3.9666666666666663,5.4
3.1999999999999997,5.6
2.9,5.1
3.4,5.2
5.4,4.2
5.6,4.1
5.1,5.0
5.2,4.9
4.2,4.3
4.1,3.6
5.0,3.8
4.9,4.2
4.3,4.3
3.6,3.8
3.8,3.6
4.2,3.2
4.3,3.3
3.8,4.6
3.6,6.3
3.2,6.7
3.3,5.5
4.6,4.0
6.3,4.9
8.143243243243242,9.7
8.532432432432433,11.0
8.921621621621622,11.9
9.31081081081081,12.8
9.7,13.4
11.0,14.2
11.9,14.9
12.8,15.1
13.4,14.6
14.2,14.0
14.9,13.6
15.1,13.5
14.6,13.4
14.0,13.1
13.6,12.9
13.5,12.9
13.4,12.7
13.1,12.5
12.9,12.5
12.9,12.4
12.7,12.2
12.5,12.2
12.5,12.1
12.4,11.7
12.2,11.2
12.2,10.9
12.1,10.2
11.7,9.8
11.2,10.4
10.9,10.4
10.2,9.6
10.0,8.6
10.4,9.2
10.133333333333333,11.3
9.35,10.8
8.6,7.7
9.2,5.7
11.3,4.0
10.8,3.6
7.7,3.5
5.7,3.3
4.0,3.6
3.6,3.9
3.5,4.4
3.3,5.1
3.6,5.2
3.9,5.2
4.4,5.7
5.1,5.6
5.2,5.3
5.2,5.6
5.7,7.3
5.6,9.8
5.3,12.6
5.6,14.2
7.3,13.4
9.8,11.2
12.6,8.4
14.2,5.7
13.4,4.1
11.2,4.0
8.4,5.1
5.7,6.4
4.1,6.0
4.0,6.6
5.1,8.5
6.266666666666667,9.7
6.2,9.6
7.233333333333333,8.8
8.5,8.2
9.7,7.9
9.6,7.6
8.8,7.1
8.125,6.9
7.9,6.4
7.6,5.9
7.1,5.6
6.9,5.3
6.4,4.3
5.9,3.6
5.6,4.3
5.3,6.3
4.3,7.8
