,0
hour_sin,0.0058924262
hour_cos,0.0063241865
bg-2:00,0.0031894268
bg-1:55,0.004380609
bg-1:50,0.0048926244
bg-1:45,0.0033581073
bg-1:40,0.0037529191
bg-1:35,0.0031139401
bg-1:30,0.0037099628
bg-1:25,0.004706397
bg-1:20,0.003399824
bg-1:15,0.0048557264
bg-1:10,0.0035067527
bg-1:05,0.0048676985
bg-1:00,0.004223669
bg-0:55,0.003940521
bg-0:50,0.0037645497
bg-0:45,0.0047796234
bg-0:40,0.006373843
bg-0:35,0.005183948
bg-0:30,0.0047546104
bg-0:25,0.009885651
bg-0:20,0.021865193
bg-0:15,0.027226087
bg-0:10,0.013036057
bg-0:05,0.005402193
bg-0:00,0.3028839
insulin-2:00,0.0029093975
insulin-1:55,0.0025481728
insulin-1:50,0.0022143596
insulin-1:45,0.00309195
insulin-1:40,0.0027611132
insulin-1:35,0.0028298474
insulin-1:30,0.0024714859
insulin-1:25,0.0037476956
insulin-1:20,0.0027791555
insulin-1:15,0.0024814173
insulin-1:10,0.0037231052
insulin-1:05,0.003222567
insulin-1:00,0.003760599
insulin-0:55,0.004544662
insulin-0:50,0.0038123475
insulin-0:45,0.00481706
insulin-0:40,0.008221608
insulin-0:35,0.005619445
insulin-0:30,0.007801026
insulin-0:25,0.0067990185
insulin-0:20,0.005876038
insulin-0:15,0.0044599464
insulin-0:10,0.0059044342
insulin-0:05,0.0058428044
insulin-0:00,0.0041261665
hr-2:00,0.0039168643
hr-1:55,0.0025335934
hr-1:50,0.0029893487
hr-1:45,0.0028176496
hr-1:40,0.0029237878
hr-1:35,0.002782638
hr-1:30,0.0016764044
hr-1:25,0.0031950213
hr-1:20,0.0026911306
hr-1:15,0.002611849
hr-1:10,0.0028528399
hr-1:05,0.0031299784
hr-1:00,0.0027792458
hr-0:55,0.0033976946
hr-0:50,0.0027625123
hr-0:45,0.003971158
hr-0:40,0.0029093213
hr-0:35,0.0025289005
hr-0:30,0.003057961
hr-0:25,0.0027774442
hr-0:20,0.0023246175
hr-0:15,0.003391904
hr-0:10,0.0028325308
hr-0:05,0.0031037547
hr-0:00,0.0133998515
steps-2:00,0.0028526643
steps-1:55,0.0015352732
steps-1:50,0.0023458384
steps-1:45,0.0023629044
steps-1:40,0.0020045359
steps-1:35,0.0015426009
steps-1:30,0.0023436663
steps-1:25,0.0018424005
steps-1:20,0.002293797
steps-1:15,0.0019907653
steps-1:10,0.0021089094
steps-1:05,0.0038093617
steps-1:00,0.0029893932
steps-0:55,0.0037188767
steps-0:50,0.0026079407
steps-0:45,0.0022996047
steps-0:40,0.0021288835
steps-0:35,0.0032362908
steps-0:30,0.002906173
steps-0:25,0.0040692417
steps-0:20,0.0040551606
steps-0:15,0.0036411842
steps-0:10,0.0038455343
steps-0:05,0.002674921
steps-0:00,0.008130883
cals-2:00,0.0030417296
cals-1:55,0.0031518838
cals-1:50,0.0036495675
cals-1:45,0.0026474986
cals-1:40,0.0026400327
cals-1:35,0.0029966861
cals-1:30,0.0025052887
cals-1:25,0.0036741896
cals-1:20,0.003332261
cals-1:15,0.0027512892
cals-1:10,0.0029384417
cals-1:05,0.0042019943
cals-1:00,0.0032050305
cals-0:55,0.0037225133
cals-0:50,0.0034144837
cals-0:45,0.0029208239
cals-0:40,0.003074634
cals-0:35,0.0058758263
cals-0:30,0.0033817673
cals-0:25,0.004463846
cals-0:20,0.002603884
cals-0:15,0.0034398953
cals-0:10,0.004338901
cals-0:05,0.006484759
cals-0:00,0.0077799107
p_num_p02,0.014509926
p_num_p04,0.024077514
p_num_p05,0.0074609136
p_num_p06,0.0060657095
p_num_p10,0.033641707
p_num_p11,0.011658553
p_num_p12,0.019024482
p_num_p15,0.0067058634
p_num_p16,0.008503176
p_num_p18,0.0074579297
p_num_p19,0.005986716
p_num_p21,0.012908297
p_num_p22,0.0058447397
p_num_p24,0.0075867046
